Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),PowerConsumption,DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s)
ResidualBlock-in_96x14x14-out_96-k_7-e_4-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.392746727,1.112502952,1.584773983,0.052738421,9.021518095,1.032489905,1111.529622
ResidualBlock-in_24x112x112-out_32-k_3-e_6-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.409951301,1.755263991,1.621703141,0.061885657,8.496480248,0.11,148.121
ResidualBlock-in_96x14x14-out_136-k_3-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.925589785,0.908490454,1.16291686,0.093913023,7.648789335,0.293630093,846.6493653
ResidualBlock-in_96x14x14-out_136-k_3-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.570126428,0.960197747,0.486,0.041423884,9.19577873,0.332939513,148.121
ResidualBlock-in_32x56x56-out_48-k_5-e_6-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.936794875,0.812303678,1.773829555,0.075349896,6.185003684,0.33998535,1045.18072
ResidualBlock-in_32x56x56-out_32-k_7-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.788885484,0.974488949,1.938471096,0.02895297,16.58270226,1.030404222,148.121
Conv_in-3x224x224_out-24_k-3_act-relu,500,DPUCZDX8G_1:batch-1,1.991931856,0.560668347,0.486,0.067691154,11.95122928,0.11,715.3558255
ResidualBlock-in_24x112x112-out_32-k_5-e_3-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,2.12836059,0.318,1.928053745,0.026819765,8.99081063,0.428570133,1039.401182
ResidualBlock-in_192x7x7-out_192-k_3-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.295931894,0.908411777,2.628631734,0.046846836,21.96859064,1.73,283.9434376
ResidualBlock-in_48x28x28-out_48-k_3-e_3-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.359741622,1.547234709,1.504441891,0.003,7.049178552,0.11,1118.101754
